date,nav,ticker
2020-01-01,99.65498554828646,FUND1
2020-01-02,102.00978243202515,FUND1
2020-01-03,100.75807521190143,FUND1
2020-01-06,100.06034287507148,FUND1
2020-01-07,101.45485990048367,FUND1
2020-01-08,100.58652343655103,FUND1
2020-01-09,101.64161070073752,FUND1
2020-01-10,99.61223963389529,FUND1
2020-01-13,99.67540458912644,FUND1
2020-01-14,101.84561310059918,FUND1
2020-01-15,102.21312334574819,FUND1
2020-01-16,101.94936227286873,FUND1
2020-01-17,103.13396540723288,FUND1
2020-01-20,104.36735602185085,FUND1
2020-01-21,102.68888882604573,FUND1
2020-01-22,101.61171417463821,FUND1
2020-01-23,100.91003185798455,FUND1
2020-01-24,100.510425856983,FUND1
2020-01-27,99.93085688869981,FUND1
2020-01-28,97.58130113453922,FUND1
2020-01-29,97.03826571109948,FUND1
2020-01-30,96.66316162609888,FUND1
2020-01-31,96.66316162609888,FUND1
2020-02-03,98.05959397255553,FUND1
2020-02-04,98.07456225840815,FUND1
2020-02-05,99.6438723326113,FUND1
2020-02-06,98.84497869379722,FUND1
2020-02-07,98.49799183831101,FUND1
2020-02-10,99.31206627623689,FUND1
2020-02-11,99.12408867192958,FUND1
2020-02-12,99.05034710413481,FUND1
2020-02-13,99.02617312842136,FUND1
2020-02-14,98.55897176073942,FUND1
2020-02-17,97.82349425844615,FUND1
2020-02-18,100.5323381100997,FUND1
2020-02-19,101.17835923326975,FUND1
2020-02-20,100.65741339336223,FUND1
2020-02-21,100.86718890235436,FUND1
2020-02-24,100.65494764358746,FUND1
2020-02-25,99.53623169273037,FUND1
2020-02-26,100.79823371411368,FUND1
2020-02-27,103.35410107677687,FUND1
2020-02-28,102.91340474105726,FUND1
2020-03-02,103.40501335112697,FUND1
2020-03-03,101.66855025476693,FUND1
2020-03-04,101.73695146971914,FUND1
2020-03-05,102.36204694114939,FUND1
2020-03-06,102.31230210361724,FUND1
2020-03-09,100.99256045038882,FUND1
2020-03-10,100.68164923217155,FUND1
2020-03-11,102.07029703454458,FUND1
2020-03-12,101.85978354736393,FUND1
2020-03-13,102.68768671477947,FUND1
2020-03-16,102.54276803325888,FUND1
2020-03-17,102.15453998031043,FUND1
2020-03-18,102.30011146244364,FUND1
2020-03-19,104.85966769937146,FUND1
2020-03-20,105.0830353565684,FUND1
2020-03-23,103.88488721669584,FUND1
2020-03-24,102.9648791166263,FUND1
2020-03-25,102.31345424843363,FUND1
2020-03-26,103.02647483586547,FUND1
2020-03-27,104.09936948090272,FUND1
2020-03-30,103.38300147136216,FUND1
2020-03-31,103.2073193610664,FUND1
2020-04-01,101.95220324311616,FUND1
2020-04-02,103.1855562491034,FUND1
2020-04-03,105.75278653846918,FUND1
2020-04-06,105.37140757991833,FUND1
2020-04-07,104.67737121219076,FUND1
2020-04-08,104.40212853950132,FUND1
2020-04-09,104.64644784008618,FUND1
2020-04-10,106.06194196190542,FUND1
2020-04-13,106.06194196190542,FUND1
2020-04-14,105.48051599118673,FUND1
2020-04-15,106.32898647863603,FUND1
2020-04-16,109.0038677615826,FUND1
2020-04-17,110.06458642976284,FUND1
2020-04-20,110.81878339468606,FUND1
2020-04-21,111.81592416112589,FUND1
2020-04-22,111.28140860272053,FUND1
2020-04-23,112.57159683321767,FUND1
2020-04-24,113.31624342899929,FUND1
2020-04-27,115.40336414549823,FUND1
2020-04-28,115.45939854888398,FUND1
2020-04-29,116.95270629387883,FUND1
2020-04-30,116.12751453451196,FUND1
2020-05-01,115.35474528157003,FUND1
2020-05-04,115.95004672085518,FUND1
2020-05-05,116.68665312911455,FUND1
2020-05-06,118.76254154355938,FUND1
2020-05-07,118.1800754652235,FUND1
